system:index,B11,B3,B3_20m,B4,B4_20m,B8,B8_20m,CLP,CLP_20m,EPSG,NDSI_20m,NDVI,NDVI_20m,doi,kNDVI,kNDVI_20m,lat,long,name,year,.geo
20180617T213529_20180617T213527_T07WET_5,2648,1483,1488,1589,1601,2307,2305,66,67,32607,-0.2804642166344294,0.18429158110882957,0.18023553507424475,168,0.0339503338361751,0.03247342621312233,69.57483,-138.86305,Phenocam6,2018,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20180618T210019_20180618T210020_T07WET_0,2499,1275,1282,1272,1251,2019,2034,65,67,32607,-0.321872520497223,0.22698268003646307,0.23835616438356164,169,0.05147559901149594,0.056752612357570134,69.5756,-138.9046,Phenocam1,2018,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
20180618T210019_20180618T210020_T07WET_1,2685,1342,1326,1342,1323,2256,2179,62,64,32607,-0.3388182498130142,0.25403001667593106,0.24443175328383782,169,0.06444182288507294,0.05967589076442071,69.5757,-138.90525,Phenocam2,2018,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20180618T210019_20180618T210020_T07WET_2,3008,1362,1358,1487,1471,2495,2524,82,79,32607,-0.37792029317453046,0.2531391260673029,0.26357947434292867,169,0.06399185393335666,0.06936257875122356,69.57781,-138.91277,Phenocam3,2018,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20180618T210019_20180618T210020_T07WET_3,1609,2291,2087,2377,2183,2299,2414,8,6,32607,0.12932900432900432,-0.016680923866552608,0.05025016314988036,169,2.782532138604862E-4,0.0025250735299492087,69.57515,-138.89453,Phenocam4,2018,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20180618T210019_20180618T210020_T07WET_4,2957,1332,1320,1385,1362,2100,2058,58,58,32607,-0.38274491465980826,0.20516499282639886,0.20350877192982456,169,0.042067832049011704,0.041392156714354374,69.57651,-138.86711,Phenocam5,2018,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20180618T210019_20180618T210020_T07WET_5,3065,1371,1363,1506,1504,2366,2363,83,80,32607,-0.3843721770551039,0.22210743801652894,0.22213602275665892,169,0.049291734756976416,0.049304402479493956,69.57483,-138.86305,Phenocam6,2018,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20180619T212521_20180619T212522_T07WET_0,3836,6476,6459,6930,6913,6795,6745,99,99,32607,0.2547838756677999,-0.009836065573770493,-0.012300483233269878,170,9.67481856696519E-5,1.5130188661740596E-4,69.5756,-138.9046,Phenocam1,2018,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
20180619T212521_20180619T212522_T07WET_1,3687,6396,6413,6761,6785,6684,6679,99,99,32607,0.2699009900990099,-0.00572703607288955,-0.007872846108140225,170,3.279894216841678E-5,6.198170576308632E-5,69.5757,-138.90525,Phenocam2,2018,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20180619T212521_20180619T212522_T07WET_2,3799,6646,6653,7064,7037,6930,6950,99,99,32607,0.2730577879831611,-0.00957553237101615,-0.00622006148566526,170,9.16908199314236E-5,3.868916486615235E-5,69.57781,-138.91277,Phenocam3,2018,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
